종목코드,구성종목명,주식수(계약수),평가금액,시가총액,시가총액기준구성비중
FR0010340141,ADP,51.00,-,-,-
ES0105046009,AENA SA,150.00,-,-,-
US0255371017,AMERICAN ELECTRIC POWER,93.00,-,-,-
US0304201033,AMERICAN WATER WORKS CO INC,33.00,-,-,-
CNE1000001X0,ANHUI EXPRESSWAY CO LTD-H,553.00,-,-,-
IT0003506190,ATLANTIA SPA,"1,019.00",-,-,-
AU0000013559,ATLAS ARTERIA,"1,852.00",-,-,-
NZAIAE0002S6,AUCKLAND INTL AIRPORT LTD,"2,373.00",-,-,-
CNE100000221,BEIJING AIRPORT,"2,400.00",-,-,-
US2044096012,CEMIG SA,274.00,-,-,-
CNE100001T80,CGN POWER CO LTD-H,149.00,-,-,-
US16411R2085,CHENIERE ENERGY INC,59.00,-,-,-
CNE100000HD4,CHINA LONGYUAN POWER GROUP-H,600.00,-,-,-
HK0144000764,CHINA MERCHANTS HOLD,"2,000.00",-,-,-
HK2380027329,CHINA POWER,956.00,-,-,-
US2091151041,CONSOLIDATED EDISON INC,57.00,-,-,-
US21037T1097,CONSTELLATION ENERGY,52.00,-,-,-
BMG2442N1048,COSCO Pacific Ltd,"2,600.00",-,-,-
BMG2109G1033,China Gas Holdings Ltd,400.00,-,-,-




























































